Kod;Nazwa;imigracja_2005;imigracja_2006;imigracja_2007;imigracja_2008;imigracja_2009;imigracja_2010;imigracja_2011;imigracja_2012;imigracja_2013;imigracja_2014;imigracja_2015;imigracja_2016;imigracja_2017;imigracja_2018;imigracja_2019;imigracja_2020;emigracja_2005;emigracja_2006;emigracja_2007;emigracja_2008;emigracja_2009;emigracja_2010;emigracja_2011;emigracja_2012;emigracja_2013;emigracja_2014;emigracja_2015;emigracja_2016;emigracja_2017;emigracja_2018;emigracja_2019;emigracja_2020;
1004042;Grabów (2);;;;;;;;;;;;0;0;2;4;;;;;;;;;;;;;0;1;0;0;;
1004052;Łęczyca (2);;;;;;;;;;;;0;1;1;2;;;;;;;;;;;;;0;0;0;0;;
1004062;Piątek (2);;;;;;;;;;;;0;0;2;0;;;;;;;;;;;;;0;0;0;0;;
1004072;Świnice Warckie (2);;;;;;;;;;;;0;1;0;3;;;;;;;;;;;;;0;0;0;0;;
1004082;Witonia (2);;;;;;;;;;;;6;3;1;1;;;;;;;;;;;;;0;0;0;0;;
1005000;Powiat łowicki;6;10;15;9;14;15;10;11;9;18;0;21;26;22;17;;16;56;21;26;23;21;13;21;20;11;0;9;17;11;6;;
1005011;Łowicz (1);;;;;;;;;;;;16;19;11;14;;;;;;;;;;;;;5;17;9;6;;
1005022;Bielawy (2);;;;;;;;;;;;0;0;3;0;;;;;;;;;;;;;1;0;1;0;;
1005042;Domaniewice (2);;;;;;;;;;;;0;1;1;0;;;;;;;;;;;;;0;0;0;0;;
1005052;Kiernozia (2);;;;;;;;;;;;2;0;0;0;;;;;;;;;;;;;0;0;0;0;;
1005062;Kocierzew Południowy (2);;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;2;0;0;0;;
1005072;Łowicz (2);;;;;;;;;;;;0;2;2;0;;;;;;;;;;;;;0;0;0;0;;
1005082;Łyszkowice (2);;;;;;;;;;;;0;0;3;1;;;;;;;;;;;;;1;0;0;0;;
1005092;Nieborów (2);;;;;;;;;;;;2;4;0;2;;;;;;;;;;;;;0;0;1;0;;
1005102;Zduny (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1006000;Powiat łódzki wschodni;10;16;23;13;14;17;19;16;18;24;0;20;15;13;22;;10;34;13;22;4;3;9;17;25;28;0;1;5;3;1;;
1006022;Andrespol (2);;;;;;;;;;;;8;3;3;3;;;;;;;;;;;;;0;0;0;0;;
1006032;Brójce (2);;;;;;;;;;;;1;3;0;1;;;;;;;;;;;;;0;0;0;0;;
1006073;Koluszki (3);;;;;;;;;;;;5;2;5;4;;;;;;;;;;;;;0;0;0;0;;
1006074;Koluszki - miasto (4);;;;;;;;;;;;3;0;1;2;;;;;;;;;;;;;0;0;0;0;;
1006075;Koluszki - obszar wiejski (5);;;;;;;;;;;;2;2;4;2;;;;;;;;;;;;;0;0;0;0;;
1006082;Nowosolna (2);;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;0;1;0;0;;
1006103;Rzgów (3);;;;;;;;;;;;2;4;2;4;;;;;;;;;;;;;0;0;0;0;;
1006104;Rzgów - miasto (4);;;;;;;;;;;;1;0;0;1;;;;;;;;;;;;;0;0;0;0;;
1006105;Rzgów - obszar wiejski (5);;;;;;;;;;;;1;4;2;3;;;;;;;;;;;;;0;0;0;0;;
1006113;Tuszyn (3);;;;;;;;;;;;3;2;2;9;;;;;;;;;;;;;1;4;3;1;;
1006114;Tuszyn - miasto (4);;;;;;;;;;;;3;1;1;9;;;;;;;;;;;;;1;4;0;1;;
1006115;Tuszyn - obszar wiejski (5);;;;;;;;;;;;0;1;1;0;;;;;;;;;;;;;0;0;3;0;;
1007000;Powiat opoczyński;2;8;11;10;9;14;18;10;13;10;0;20;16;17;18;;1;49;30;35;17;8;2;12;17;31;0;9;9;7;18;;
1007012;Białaczów (2);;;;;;;;;;;;2;1;1;0;;;;;;;;;;;;;0;0;0;0;;
1007023;Drzewica (3);;;;;;;;;;;;1;1;4;1;;;;;;;;;;;;;0;0;0;0;;
1007024;Drzewica - miasto (4);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1007025;Drzewica - obszar wiejski (5);;;;;;;;;;;;1;1;3;1;;;;;;;;;;;;;0;0;0;0;;
1007032;Mniszków (2);;;;;;;;;;;;0;1;0;3;;;;;;;;;;;;;0;0;0;0;;
1007043;Opoczno (3);;;;;;;;;;;;12;5;8;9;;;;;;;;;;;;;9;9;7;18;;
1007044;Opoczno - miasto (4);;;;;;;;;;;;10;4;6;8;;;;;;;;;;;;;9;9;7;17;;
1007045;Opoczno - obszar wiejski (5);;;;;;;;;;;;2;1;2;1;;;;;;;;;;;;;0;0;0;1;;
1007052;Paradyż (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1007062;Poświętne (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1007072;Sławno (2);;;;;;;;;;;;3;3;0;5;;;;;;;;;;;;;0;0;0;0;;
1007082;Żarnów (2);;;;;;;;;;;;2;5;2;0;;;;;;;;;;;;;0;0;0;0;;
1008000;Powiat pabianicki;24;15;34;27;38;23;24;20;15;8;0;31;29;48;31;;31;70;76;44;32;18;26;23;49;43;0;2;7;6;2;;
1008011;Konstantynów Łódzki (1);;;;;;;;;;;;4;3;2;7;;;;;;;;;;;;;0;3;0;0;;
1008021;Pabianice (1);;;;;;;;;;;;12;17;30;18;;;;;;;;;;;;;0;0;4;1;;
1008042;Dobroń (2);;;;;;;;;;;;0;2;3;0;;;;;;;;;;;;;0;1;0;1;;
1008052;Ksawerów (2);;;;;;;;;;;;13;4;3;3;;;;;;;;;;;;;0;1;0;0;;
1008062;Lutomiersk (2);;;;;;;;;;;;1;3;8;1;;;;;;;;;;;;;2;2;2;0;;
1008072;Pabianice (2);;;;;;;;;;;;1;0;2;2;;;;;;;;;;;;;0;0;0;0;;
1009000;Powiat pajęczański;6;3;7;6;9;3;7;8;1;3;0;4;1;11;3;;11;34;6;4;3;5;8;1;12;11;0;1;2;1;0;;
1009013;Działoszyn (3);;;;;;;;;;;;2;1;1;0;;;;;;;;;;;;;0;0;0;0;;
1009014;Działoszyn - miasto (4);;;;;;;;;;;;1;0;0;0;;;;;;;;;;;;;0;0;0;0;;
1009015;Działoszyn - obszar wiejski (5);;;;;;;;;;;;1;1;1;0;;;;;;;;;;;;;0;0;0;0;;
1009022;Kiełczygłów (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1009032;Nowa Brzeźnica (2);;;;;;;;;;;;0;0;4;0;;;;;;;;;;;;;0;2;0;0;;
1009043;Pajęczno (3);;;;;;;;;;;;2;0;1;1;;;;;;;;;;;;;1;0;1;0;;
1009044;Pajęczno - miasto (4);;;;;;;;;;;;2;0;1;0;;;;;;;;;;;;;1;0;1;0;;
1009045;Pajęczno - obszar wiejski (5);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
1009052;Rząśnia (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1009062;Siemkowice (2);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
1009072;Strzelce Wielkie (2);;;;;;;;;;;;0;0;3;1;;;;;;;;;;;;;0;0;0;0;;
1010000;Powiat piotrkowski;6;8;19;10;16;31;14;15;23;20;0;16;11;16;15;;3;24;13;26;6;8;11;10;12;34;0;1;4;4;3;;
1010012;Aleksandrów (2);;;;;;;;;;;;2;0;2;0;;;;;;;;;;;;;0;1;0;0;;
1010022;Czarnocin (2);;;;;;;;;;;;0;0;1;3;;;;;;;;;;;;;0;0;0;0;;
1010032;Gorzkowice (2);;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;0;0;0;1;;
1010042;Grabica (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1010052;Łęki Szlacheckie (2);;;;;;;;;;;;0;0;1;2;;;;;;;;;;;;;0;0;0;0;;
1010062;Moszczenica (2);;;;;;;;;;;;7;10;2;4;;;;;;;;;;;;;0;0;0;0;;
1010072;Ręczno (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1010082;Rozprza (2);;;;;;;;;;;;6;1;4;1;;;;;;;;;;;;;1;0;2;2;;
1010093;Sulejów (3);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;0;2;0;;
1010094;Sulejów - miasto (4);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;0;1;0;;
1010095;Sulejów - obszar wiejski (5);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;0;1;0;;
1010102;Wola Krzysztoporska (2);;;;;;;;;;;;0;0;2;1;;;;;;;;;;;;;0;2;0;0;;
1010113;Wolbórz (3);;;;;;;;;;;;0;0;1;4;;;;;;;;;;;;;0;1;0;0;;
1010114;Wolbórz - miasto (4);;;;;;;;;;;;0;0;1;2;;;;;;;;;;;;;0;1;0;0;;
1010115;Wolbórz - obszar wiejski (5);;;;;;;;;;;;0;0;0;2;;;;;;;;;;;;;0;0;0;0;;
1011000;Powiat poddębicki;1;3;3;8;7;1;4;0;2;9;0;1;2;2;6;;0;3;7;5;3;3;3;0;9;6;0;0;1;0;0;;
1011012;Dalików (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1011022;Pęczniew (2);;;;;;;;;;;;0;0;0;2;;;;;;;;;;;;;0;0;0;0;;
1011033;Poddębice (3);;;;;;;;;;;;1;1;0;2;;;;;;;;;;;;;0;0;0;0;;
1011034;Poddębice - miasto (4);;;;;;;;;;;;0;1;0;2;;;;;;;;;;;;;0;0;0;0;;
1011035;Poddębice - obszar wiejski (5);;;;;;;;;;;;1;0;0;0;;;;;;;;;;;;;0;0;0;0;;
1011043;Uniejów (3);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1011044;Uniejów - miasto (4);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1011052;Wartkowice (2);;;;;;;;;;;;0;1;0;2;;;;;;;;;;;;;0;1;0;0;;
1012000;Powiat radomszczański;10;16;29;21;25;15;14;24;27;42;0;25;24;31;39;;26;111;43;49;24;33;33;57;67;41;0;52;40;29;20;;
1012011;Radomsko (1);;;;;;;;;;;;16;13;20;27;;;;;;;;;;;;;51;36;22;18;;
1012022;Dobryszyce (2);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;0;1;0;;
1012032;Gidle (2);;;;;;;;;;;;0;4;3;1;;;;;;;;;;;;;0;1;0;0;;
1012042;Gomunice (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1012053;Kamieńsk (3);;;;;;;;;;;;1;0;1;1;;;;;;;;;;;;;0;0;0;0;;
1012054;Kamieńsk - miasto (4);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
1012055;Kamieńsk - obszar wiejski (5);;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1012062;Kobiele Wielkie (2);;;;;;;;;;;;0;1;0;1;;;;;;;;;;;;;0;0;4;0;;
1012072;Kodrąb (2);;;;;;;;;;;;0;0;0;3;;;;;;;;;;;;;0;0;0;0;;
1012082;Lgota Wielka (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;2;1;0;;
1012092;Ładzice (2);;;;;;;;;;;;0;1;1;0;;;;;;;;;;;;;1;0;0;0;;
1012102;Masłowice (2);;;;;;;;;;;;0;2;1;1;;;;;;;;;;;;;0;0;0;1;;
1012113;Przedbórz (3);;;;;;;;;;;;4;0;1;1;;;;;;;;;;;;;0;0;0;0;;
1012114;Przedbórz - miasto (4);;;;;;;;;;;;4;0;0;0;;;;;;;;;;;;;0;0;0;0;;
1012115;Przedbórz - obszar wiejski (5);;;;;;;;;;;;0;0;1;1;;;;;;;;;;;;;0;0;0;0;;
1012122;Radomsko (2);;;;;;;;;;;;2;1;0;1;;;;;;;;;;;;;0;0;0;0;;
1012132;Wielgomłyny (2);;;;;;;;;;;;0;0;2;1;;;;;;;;;;;;;0;0;0;0;;
1012142;Żytno (2);;;;;;;;;;;;2;2;0;2;;;;;;;;;;;;;0;1;1;1;;
1013000;Powiat rawski;3;11;8;4;9;6;4;4;3;2;0;5;5;2;2;;1;7;5;1;18;4;1;9;1;3;0;1;3;0;1;;
1013011;Rawa Mazowiecka (1);;;;;;;;;;;;2;3;1;1;;;;;;;;;;;;;1;3;0;1;;
1013023;Biała Rawska (3);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
1013024;Biała Rawska - miasto (4);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
1013032;Cielądz (2);;;;;;;;;;;;2;1;0;0;;;;;;;;;;;;;0;0;0;0;;
1013042;Rawa Mazowiecka (2);;;;;;;;;;;;1;1;1;0;;;;;;;;;;;;;0;0;0;0;;
1014000;Powiat sieradzki;9;17;19;39;21;12;16;14;12;23;0;43;39;22;28;;18;62;29;40;26;15;34;31;39;42;0;14;18;26;39;;
1014011;Sieradz (1);;;;;;;;;;;;33;17;9;14;;;;;;;;;;;;;9;13;16;28;;
1014023;Błaszki (3);;;;;;;;;;;;0;1;1;1;;;;;;;;;;;;;0;0;7;8;;
1014024;Błaszki - miasto (4);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;0;0;3;;
1014025;Błaszki - obszar wiejski (5);;;;;;;;;;;;0;1;1;1;;;;;;;;;;;;;0;0;7;5;;
1014032;Brąszewice (2);;;;;;;;;;;;1;0;3;3;;;;;;;;;;;;;0;0;0;0;;
1014042;Brzeźnio (2);;;;;;;;;;;;0;1;1;2;;;;;;;;;;;;;3;2;2;0;;
1014052;Burzenin (2);;;;;;;;;;;;1;7;0;7;;;;;;;;;;;;;0;0;0;0;;
1014062;Goszczanów (2);;;;;;;;;;;;1;1;0;0;;;;;;;;;;;;;0;1;0;0;;
1014072;Klonowa (2);;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;0;0;0;0;;
1014082;Sieradz (2);;;;;;;;;;;;3;4;0;0;;;;;;;;;;;;;0;0;1;0;;
1014093;Warta (3);;;;;;;;;;;;0;4;4;0;;;;;;;;;;;;;0;0;0;0;;
1014094;Warta - miasto (4);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1014095;Warta - obszar wiejski (5);;;;;;;;;;;;0;4;3;0;;;;;;;;;;;;;0;0;0;0;;
1014102;Wróblew (2);;;;;;;;;;;;2;3;0;1;;;;;;;;;;;;;1;0;0;0;;
1014113;Złoczew (3);;;;;;;;;;;;2;0;4;0;;;;;;;;;;;;;1;2;0;3;;
1014114;Złoczew - miasto (4);;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;0;2;0;3;;
1014115;Złoczew - obszar wiejski (5);;;;;;;;;;;;1;0;3;0;;;;;;;;;;;;;1;0;0;0;;
1015000;Powiat skierniewicki;3;2;4;2;4;2;1;4;1;1;0;7;3;3;8;;0;0;1;2;2;0;0;1;1;1;0;0;0;0;1;;
1015012;Bolimów (2);;;;;;;;;;;;2;1;0;1;;;;;;;;;;;;;0;0;0;1;;
1015022;Głuchów (2);;;;;;;;;;;;1;0;0;3;;;;;;;;;;;;;0;0;0;0;;
1015042;Kowiesy (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1015052;Lipce Reymontowskie (2);;;;;;;;;;;;0;0;1;1;;;;;;;;;;;;;0;0;0;0;;
1015062;Maków (2);;;;;;;;;;;;4;1;0;1;;;;;;;;;;;;;0;0;0;0;;
1015072;Nowy Kawęczyn (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1015082;Skierniewice (2);;;;;;;;;;;;0;1;0;2;;;;;;;;;;;;;0;0;0;0;;
1016000;Powiat tomaszowski;11;9;18;12;22;19;18;10;13;17;0;13;25;13;11;;13;50;19;30;11;4;12;22;30;19;0;2;3;11;7;;
1016011;Tomaszów Mazowiecki (1);;;;;;;;;;;;9;16;8;5;;;;;;;;;;;;;1;0;5;6;;
1016032;Budziszewice (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1016042;Czerniewice (2);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
1016052;Inowłódz (2);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;2;0;0;;
1016062;Lubochnia (2);;;;;;;;;;;;2;3;0;0;;;;;;;;;;;;;1;0;1;1;;
1016072;Rokiciny (2);;;;;;;;;;;;0;3;2;1;;;;;;;;;;;;;0;0;0;0;;
1016082;Rzeczyca (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1016092;Tomaszów Mazowiecki (2);;;;;;;;;;;;1;1;0;4;;;;;;;;;;;;;0;0;0;0;;
1016102;Ujazd (2);;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;0;1;4;0;;
1016112;Żelechlinek (2);;;;;;;;;;;;0;2;0;0;;;;;;;;;;;;;0;0;1;0;;
1017000;Powiat wieluński;15;9;16;16;25;17;11;9;8;14;0;25;8;21;14;;8;21;28;11;9;11;10;7;33;13;0;9;6;11;3;;
1017012;Biała (2);;;;;;;;;;;;1;0;0;0;;;;;;;;;;;;;0;0;0;1;;
1017022;Czarnożyły (2);;;;;;;;;;;;1;0;1;1;;;;;;;;;;;;;0;0;0;0;;
1017032;Konopnica (2);;;;;;;;;;;;7;0;4;0;;;;;;;;;;;;;0;1;0;0;;
1017042;Mokrsko (2);;;;;;;;;;;;1;0;4;1;;;;;;;;;;;;;2;0;2;1;;
1017052;Osjaków (2);;;;;;;;;;;;4;0;3;0;;;;;;;;;;;;;2;1;0;0;;
1017062;Ostrówek (2);;;;;;;;;;;;1;1;3;1;;;;;;;;;;;;;0;0;5;0;;
1017072;Pątnów (2);;;;;;;;;;;;1;0;0;1;;;;;;;;;;;;;1;0;0;1;;
1017082;Skomlin (2);;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;0;0;0;0;;
1017093;Wieluń (3);;;;;;;;;;;;9;6;6;8;;;;;;;;;;;;;4;3;4;0;;
1017094;Wieluń - miasto (4);;;;;;;;;;;;7;5;4;5;;;;;;;;;;;;;3;2;2;0;;
1017095;Wieluń - obszar wiejski (5);;;;;;;;;;;;2;1;2;3;;;;;;;;;;;;;1;1;2;0;;
1017102;Wierzchlas (2);;;;;;;;;;;;0;0;0;2;;;;;;;;;;;;;0;1;0;0;;
1018000;Powiat wieruszowski;2;4;3;8;8;11;13;6;2;6;0;11;9;11;9;;9;29;19;10;14;5;9;10;12;12;0;2;1;0;16;;
1018012;Bolesławiec (2);;;;;;;;;;;;0;1;1;0;;;;;;;;;;;;;0;0;0;0;;
1018022;Czastary (2);;;;;;;;;;;;0;0;0;2;;;;;;;;;;;;;0;0;0;6;;
1018032;Galewice (2);;;;;;;;;;;;2;0;0;0;;;;;;;;;;;;;0;0;0;0;;
1018042;Lututów (2);;;;;;;;;;;;2;2;2;1;;;;;;;;;;;;;1;0;0;1;;
1018052;Łubnice (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;0;0;0;;
1018062;Sokolniki (2);;;;;;;;;;;;3;4;4;1;;;;;;;;;;;;;1;1;0;3;;
1018073;Wieruszów (3);;;;;;;;;;;;4;2;3;5;;;;;;;;;;;;;0;0;0;6;;
1018074;Wieruszów - miasto (4);;;;;;;;;;;;4;2;1;3;;;;;;;;;;;;;0;0;0;6;;
1018075;Wieruszów - obszar wiejski (5);;;;;;;;;;;;0;0;2;2;;;;;;;;;;;;;0;0;0;0;;
1019000;Powiat zduńskowolski;7;4;15;16;13;11;8;9;6;25;0;24;10;12;16;;30;51;21;7;10;15;14;6;34;29;0;1;1;4;5;;
1019011;Zduńska Wola (1);;;;;;;;;;;;14;5;6;9;;;;;;;;;;;;;1;1;3;4;;
1019023;Szadek (3);;;;;;;;;;;;3;3;2;1;;;;;;;;;;;;;0;0;0;1;;
1019024;Szadek - miasto (4);;;;;;;;;;;;1;1;1;0;;;;;;;;;;;;;0;0;0;0;;
1019025;Szadek - obszar wiejski (5);;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;;0;0;0;1;;
1019032;Zapolice (2);;;;;;;;;;;;0;0;1;1;;;;;;;;;;;;;0;0;0;0;;
1019042;Zduńska Wola (2);;;;;;;;;;;;7;2;3;5;;;;;;;;;;;;;0;0;1;0;;
1020000;Powiat zgierski;13;17;32;27;37;21;23;25;23;17;0;23;24;38;48;;13;44;64;41;15;21;33;31;37;57;0;15;10;10;11;;
1020011;Głowno (1);;;;;;;;;;;;3;3;5;0;;;;;;;;;;;;;0;1;0;0;;
1020021;Ozorków (1);;;;;;;;;;;;2;2;1;3;;;;;;;;;;;;;0;2;0;0;;
1020031;Zgierz (1);;;;;;;;;;;;14;10;8;13;;;;;;;;;;;;;6;1;8;3;;
1020043;Aleksandrów Łódzki (3);;;;;;;;;;;;2;6;10;10;;;;;;;;;;;;;9;6;2;8;;
1020044;Aleksandrów Łódzki - miasto (4);;;;;;;;;;;;1;4;6;8;;;;;;;;;;;;;7;4;1;4;;
1020045;Aleksandrów Łódzki - obszar wiejski (5);;;;;;;;;;;;1;2;4;2;;;;;;;;;;;;;2;2;1;4;;
1020052;Głowno (2);;;;;;;;;;;;0;0;0;2;;;;;;;;;;;;;0;0;0;0;;
1020062;Ozorków (2);;;;;;;;;;;;1;0;3;4;;;;;;;;;;;;;0;0;0;0;;
1020072;Parzęczew (2);;;;;;;;;;;;0;0;2;2;;;;;;;;;;;;;0;0;0;0;;
1020083;Stryków (3);;;;;;;;;;;;0;2;5;6;;;;;;;;;;;;;0;0;0;0;;
1020084;Stryków - miasto (4);;;;;;;;;;;;0;1;1;2;;;;;;;;;;;;;0;0;0;0;;
1020085;Stryków - obszar wiejski (5);;;;;;;;;;;;0;1;4;4;;;;;;;;;;;;;0;0;0;0;;
1020092;Zgierz (2);;;;;;;;;;;;1;1;4;8;;;;;;;;;;;;;0;0;0;0;;
1021000;Powiat brzeziński;0;3;2;5;4;2;4;4;7;7;0;2;1;0;2;;0;2;0;2;2;0;0;4;2;2;0;5;1;3;0;;
1021011;Brzeziny (1);;;;;;;;;;;;2;1;0;1;;;;;;;;;;;;;4;1;0;0;;
1021022;Brzeziny (2);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
1021032;Dmosin (2);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;1;0;0;0;;
1021052;Rogów (2);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;0;3;0;;
1061000;Powiat m.Łódź;138;130;162;180;184;192;182;157;173;220;0;205;178;241;249;;266;526;418;325;163;298;222;293;467;432;0;205;226;184;179;;
1061011;Łódź (1);;;;;;;;;;;;205;178;241;249;;;;;;;;;;;;;205;226;184;179;;
1062000;Powiat m.Piotrków Trybunalski;6;9;20;14;25;27;22;46;33;40;0;18;37;23;28;;11;49;14;22;18;19;29;14;22;22;0;3;4;2;2;;
1062011;Piotrków Trybunalski (1);;;;;;;;;;;;18;37;23;28;;;;;;;;;;;;;3;4;2;2;;
1063000;Powiat m.Skierniewice;11;6;15;11;14;38;28;21;26;26;0;44;13;14;7;;5;39;29;21;15;16;16;8;36;7;0;2;4;6;5;;
1063011;Skierniewice (1);;;;;;;;;;;;44;13;14;7;;;;;;;;;;;;;2;4;6;5;;
1200000;MAŁOPOLSKIE;1294;1161;1646;1756;2076;1966;2011;1831;1561;1531;0;1401;1433;1769;2013;;1264;3178;2254;2314;1311;1231;1494;1608;2512;2156;0;1105;1087;1090;1055;;
1201000;Powiat bocheński;22;25;57;34;58;61;83;76;55;56;0;54;52;34;48;;18;87;43;26;23;21;29;19;72;63;0;24;25;39;16;;
1201011;Bochnia (1);;;;;;;;;;;;27;16;15;16;;;;;;;;;;;;;10;13;23;11;;
1201022;Bochnia (2);;;;;;;;;;;;6;8;2;4;;;;;;;;;;;;;7;4;1;1;;
1201032;Drwinia (2);;;;;;;;;;;;0;4;0;1;;;;;;;;;;;;;0;0;0;0;;
1201042;Lipnica Murowana (2);;;;;;;;;;;;2;1;3;3;;;;;;;;;;;;;1;4;0;0;;
1201052;Łapanów (2);;;;;;;;;;;;11;3;0;2;;;;;;;;;;;;;1;0;0;0;;
1201063;Nowy Wiśnicz (3);;;;;;;;;;;;6;12;8;10;;;;;;;;;;;;;1;3;11;4;;
1201064;Nowy Wiśnicz - miasto (4);;;;;;;;;;;;0;2;2;1;;;;;;;;;;;;;0;1;6;1;;
1201065;Nowy Wiśnicz - obszar wiejski (5);;;;;;;;;;;;6;10;6;9;;;;;;;;;;;;;1;2;5;3;;
1201072;Rzezawa (2);;;;;;;;;;;;0;3;3;9;;;;;;;;;;;;;4;1;3;0;;
1201082;Trzciana (2);;;;;;;;;;;;1;2;3;3;;;;;;;;;;;;;0;0;1;0;;
1201092;Żegocina (2);;;;;;;;;;;;1;3;0;0;;;;;;;;;;;;;0;0;0;0;;
1202000;Powiat brzeski;34;41;73;67;87;78;59;73;52;58;0;43;48;53;77;;31;93;95;56;11;18;38;40;64;46;0;42;42;41;26;;
1202012;Borzęcin (2);;;;;;;;;;;;1;7;4;3;;;;;;;;;;;;;0;0;0;0;;
1202023;Brzesko (3);;;;;;;;;;;;9;11;27;26;;;;;;;;;;;;;6;8;7;5;;
1202024;Brzesko - miasto (4);;;;;;;;;;;;5;3;17;11;;;;;;;;;;;;;4;4;4;1;;
1202025;Brzesko - obszar wiejski (5);;;;;;;;;;;;4;8;10;15;;;;;;;;;;;;;2;4;3;4;;
1202033;Czchów (3);;;;;;;;;;;;7;3;3;7;;;;;;;;;;;;;7;6;9;5;;
1202034;Czchów - miasto (4);;;;;;;;;;;;5;1;0;3;;;;;;;;;;;;;0;1;4;0;;
1202035;Czchów - obszar wiejski (5);;;;;;;;;;;;2;2;3;4;;;;;;;;;;;;;7;5;5;5;;
1202042;Dębno (2);;;;;;;;;;;;16;16;8;21;;;;;;;;;;;;;4;6;9;9;;
1202052;Gnojnik (2);;;;;;;;;;;;1;2;2;3;;;;;;;;;;;;;4;0;0;0;;
1202062;Iwkowa (2);;;;;;;;;;;;1;3;1;5;;;;;;;;;;;;;0;1;6;0;;
1202072;Szczurowa (2);;;;;;;;;;;;8;6;8;12;;;;;;;;;;;;;21;21;10;7;;
1203000;Powiat chrzanowski;25;15;71;55;84;59;37;41;35;40;0;29;13;38;35;;71;125;93;113;37;26;55;74;92;72;0;22;37;19;14;;
1203013;Alwernia (3);;;;;;;;;;;;2;1;1;5;;;;;;;;;;;;;0;0;0;0;;
1203014;Alwernia - miasto (4);;;;;;;;;;;;1;0;1;2;;;;;;;;;;;;;0;0;0;0;;
1203015;Alwernia - obszar wiejski (5);;;;;;;;;;;;1;1;0;3;;;;;;;;;;;;;0;0;0;0;;
1203022;Babice (2);;;;;;;;;;;;7;2;3;4;;;;;;;;;;;;;0;0;0;0;;
1203033;Chrzanów (3);;;;;;;;;;;;12;3;15;12;;;;;;;;;;;;;5;12;10;5;;
1203034;Chrzanów - miasto (4);;;;;;;;;;;;11;3;14;9;;;;;;;;;;;;;4;12;9;4;;
1203035;Chrzanów - obszar wiejski (5);;;;;;;;;;;;1;0;1;3;;;;;;;;;;;;;1;0;1;1;;
1203043;Libiąż (3);;;;;;;;;;;;5;4;6;8;;;;;;;;;;;;;17;15;5;6;;
1203044;Libiąż - miasto (4);;;;;;;;;;;;3;4;5;7;;;;;;;;;;;;;17;6;2;4;;
